form	lemma	POS	morph
༄༅། །		PUNCT
དཔེ་སྐྲུན་	དཔེ་སྐྲུན་	OTHER
གསལ་	གསལ་	VERB
བཤད་	བཤད་	VERB
།		PUNCT
		
མེས་པོ་	མེས་པོ་	NOUN
འི་	གི་	PART
ཤུལ་	ཤུལ་	NOUN
བཞག་	བཞག་	VERB
		
ཅེས་པ་	ཅེས་པ་	PART
འི་	གི་	PART
དཔེ་	དཔེ་	NOUN
ཚོགས་	ཚོགས་	NOUN
འདི་	འདི་	DET
ནི་	ནི་	NO_POS
དཔལ་	དཔལ་	OTHER
བརྩེགས་	བརྩེགས་	NO_POS
བོད་ཡིག་	བོད་ཡིག་	NOUN
དཔེ་	དཔེ་	NOUN
རྙིང་	རྙིང་	NO_POS
ཞིབ་འཇུག་	ཞིབ་འཇུག་	NOUN
ཁང་	ཁང་	NOUN
གིས་	གིས་	PART
བསྒྲིགས་	བསྒྲིགས་	NO_POS
ཤིང་	ཅིང་	PART
འདི་ག་	འདི་ག་	NO_POS
དཔེ་སྐྲུན་	དཔེ་སྐྲུན་	OTHER
ཁང་	ཁང་	NOUN
དང་	དང་	NO_POS
མཉམ་	མཉམ་	VERB
འབྲེལ་	འབྲེལ་	VERB
གྱིས་	གིས་	PART
བསྐྲུན་པ་	བསྐྲུན་པ་	VERB
འི་	གི་	PART
དཔེ་	དཔེ་	NOUN
རྙིང་	རྙིང་	NO_POS
དཔེ་	དཔེ་	NOUN
ཚོགས་	ཚོགས་	NOUN
ཤིག་	ཅིག་	PART
ཡིན་	ཡིན་	NO_POS
ལ་	ལ་	PART
།		PUNCT
དེ་ཡང་	དེ་ཡང་	ADV
མཁའ་	མཁའ་	VERB
དབང་	དབང་	NOUN
གཟན་	གཟན་	NOUN
དཀ་	དཀའ་	VERB
ར་	ལ་	PART
རིན་པོ་ཆེ་	རིན་པོ་ཆེ་	ADJ
ཐུབ་བསྟན་	ཐུབ་བསྟན་	NOUN
ཉི་མ་	ཉི་མ་	NOUN
མཆོག་	མཆོག་	ADJ
གིས་	གིས་	PART
སྤྱི་	སྤྱི་	DET
འི་	གི་	PART
གཙོ་	གཙོ་	NOUN
སྐྱོང་	སྐྱོང་	VERB
གནང་	གནང་	NO_POS
སྟེ་	སྟེ་	PART
།		PUNCT
དཔལ་	དཔལ་	OTHER
བརྩེགས་	བརྩེགས་	NO_POS
བོད་ཡིག་	བོད་ཡིག་	NOUN
དཔེ་	དཔེ་	NOUN
རྙིང་	རྙིང་	NO_POS
ཞིབ་འཇུག་	ཞིབ་འཇུག་	NOUN
ཁང་	ཁང་	NOUN
གིས་	གིས་	PART
ཉེ་བ་	ཉེ་བ་	VERB
འི་	གི་	PART
ལོ་	གོ་	PART
